영세율_순위,지역,1위_업종,1위_최종세액,2위_업종,2위_최종세액,3위_업종,3위_최종세액,핵심산업특징,과세표준_합계,영세율과세표준_합계,총_매출_과세표준,영세율_비중_PCT,유형
1,인천,제조업,163101,음식업,120134,기타서비스업,111349,공항·항만 배후 제조업 1위. 물류·서비스(기타서비스)도 상위권인 수출입 거점 복합 구조.,23896768.0,1486949.0,25383717.0,5.86,수출·물류형
2,서울,기타서비스업,675597,부동산임대업 외,670088,음식업,501256,"기타서비스(금융·IT 등)·부동산 임대가 1·2위 접전. 제조업 부재, 전국 최대 서비스·금융·부동산 중심지.",79161250.0,2544182.0,81705432.0,3.11,소비·서비스형
3,경기,제조업,892716,음식업,572743,부동산임대업 외,571414,제조업이 전국 최대 규모로 압도적 1위. 수도권 인구 집중으로 음식업도 대규모. 부동산 임대 규모도 전국 상위권인 수도권 복합 경제권.,123203404.0,3590671.0,126794075.0,2.83,생산형
4,충북,제조업,76864,음식업,71351,건설업,68982,SK하이닉스(청주) 등 반도체 중심의 제조업 1위. 제조·음식·건설이 비교적 균등한 복합 구조.,12682761.0,325366.0,13008127.0,2.5,생산형
5,경북,제조업,190770,건설업,97117,음식업,93477,포항(철강)·구미(전자) 등 공업도시 기반의 제조업 1위. 건설이 2위로 제조·인프라 복합형.,21491380.0,447572.0,21938952.0,2.04,생산형
6,전남,음식업,67411,건설업,63475,운수창고통신업 등,43250,여수·광양 항만 물류(운수창고통신)가 3위. 음식·건설이 상위권으로 농어촌 기반 서비스형 경제.,10923434.0,226923.0,11150357.0,2.04,생산형
7,충남,제조업,101192,음식업,94228,건설업,87645,삼성(천안·아산)·현대제철(당진) 등 전자·철강 제조업 1위. 수도권 인접 제조 클러스터.,16594297.0,247490.0,16841787.0,1.47,생산형
8,세종,건설업,13698,대리중개도급 등,10558,운수창고통신업 등,9554,신도시 개발로 건설이 1위. 행정중심복합도시 특성으로 건설·중개·물류가 상위권. 전체 규모는 전국 최소.,1550310.0,19054.0,1569364.0,1.21,행정·개발형
9,강원,음식업,87020,건설업,66777,기타서비스업,41024,제조업 부재. 음식·서비스·건설 중심의 관광형 경제. 리조트·레저 개발이 건설 수요 견인.,10563335.0,121139.0,10684474.0,1.13,소비·서비스형
10,대전,음식업,60915,기타서비스업,50311,건설업,46557,제조업 없이 음식·서비스·건설이 상위권. 대덕연구개발특구 및 행정도시 성격의 서비스·지식 기반 경제.,10288820.0,105378.0,10394198.0,1.01,소비·서비스형
11,제주,건설업,49339,대리중개도급 등,21460,부동산임대업,18923,관광 개발 수요로 건설이 1위. 부동산 중개·임대가 2·3위로 관광지 부동산 집중 구조.,4695385.0,36954.0,4732339.0,0.78,소비·서비스형
12,전북,음식업,64788,건설업,61413,기타서비스업,44205,음식·건설·서비스 중심. 제조업 미진입으로 농업 기반 지역의 내수 서비스 의존 구조.,11872723.0,86772.0,11959495.0,0.73,소비·서비스형
13,광주,음식업,57917,건설업,53134,제조업,36138,음식업이 1위로 제조업보다 서비스·소비 비중이 높음. 광역시 특성의 도시형 소비 경제.,9353090.0,44103.0,9397193.0,0.47,소비·서비스형
14,울산,제조업,92066,음식업,47431,건설업,44488,현대차·현대중공업 등 대기업 기반의 제조업 절대 1위. 전국 최고 수준의 제조업 집중도.,8635815.0,-14215.0,8621600.0,-0.16,중공업 제조형
15,경남,제조업,323848,음식업,121306,건설업,94354,창원·거제 중심의 중공업·조선 제조업이 압도적 1위. 전형적인 제조 산업도시 구조.,27699339.0,-61251.0,27638088.0,-0.22,중공업 제조형
16,대구,전기·가스·수도업,97533,대리중개도급 등,84930,건설업,83344,전기·가스·수도업이 1위(대규모 유틸리티 사업자 VAT). 대리중개·건설이 상위권으로 부동산·서비스 중심 경제로 전환 중.,11736630.0,-100439.0,11636191.0,-0.86,소비·서비스형
17,부산,제조업,205588,음식업,134441,기타서비스업,112086,조선·항만 관련 제조업 1위. 전국 2위 항구도시답게 기타서비스(물류·해운)도 상위권.,28009524.0,-749872.0,27259652.0,-2.75,중공업 제조형
