지역,1위_업종,1위_최종세액,2위_업종,2위_최종세액,3위_업종,3위_최종세액,핵심산업특징
강원,음식업,87020,건설업,66777,기타서비스업,41024,제조업 부재. 음식·서비스·건설 중심의 관광형 경제. 리조트·레저 개발이 건설 수요 견인.
경기,제조업,892716,음식업,572743,부동산임대업 외,571414,제조업이 전국 최대 규모로 압도적 1위. 수도권 인구 집중으로 음식업도 대규모. 부동산 임대 규모도 전국 상위권인 수도권 복합 경제권.
경남,제조업,323848,음식업,121306,건설업,94354,창원·거제 중심의 중공업·조선 제조업이 압도적 1위. 전형적인 제조 산업도시 구조.
경북,제조업,190770,건설업,97117,음식업,93477,포항(철강)·구미(전자) 등 공업도시 기반의 제조업 1위. 건설이 2위로 제조·인프라 복합형.
광주,음식업,57917,건설업,53134,제조업,36138,음식업이 1위로 제조업보다 서비스·소비 비중이 높음. 광역시 특성의 도시형 소비 경제.
대구,전기·가스·수도업,97533,대리중개도급 등,84930,건설업,83344,전기·가스·수도업이 1위(대규모 유틸리티 사업자 VAT). 대리중개·건설이 상위권으로 부동산·서비스 중심 경제로 전환 중.
대전,음식업,60915,기타서비스업,50311,건설업,46557,제조업 없이 음식·서비스·건설이 상위권. 대덕연구개발특구 및 행정도시 성격의 서비스·지식 기반 경제.
부산,제조업,205588,음식업,134441,기타서비스업,112086,조선·항만 관련 제조업 1위. 전국 2위 항구도시답게 기타서비스(물류·해운)도 상위권.
서울,기타서비스업,675597,부동산임대업 외,670088,음식업,501256,"기타서비스(금융·IT 등)·부동산 임대가 1·2위 접전. 제조업 부재, 전국 최대 서비스·금융·부동산 중심지."
세종,건설업,13698,대리중개도급 등,10558,운수창고통신업 등,9554,신도시 개발로 건설이 1위. 행정중심복합도시 특성으로 건설·중개·물류가 상위권. 전체 규모는 전국 최소.
울산,제조업,92066,음식업,47431,건설업,44488,현대차·현대중공업 등 대기업 기반의 제조업 절대 1위. 전국 최고 수준의 제조업 집중도.
인천,제조업,163101,음식업,120134,기타서비스업,111349,공항·항만 배후 제조업 1위. 물류·서비스(기타서비스)도 상위권인 수출입 거점 복합 구조.
전남,음식업,67411,건설업,63475,운수창고통신업 등,43250,여수·광양 항만 물류(운수창고통신)가 3위. 음식·건설이 상위권으로 농어촌 기반 서비스형 경제.
전북,음식업,64788,건설업,61413,기타서비스업,44205,음식·건설·서비스 중심. 제조업 미진입으로 농업 기반 지역의 내수 서비스 의존 구조.
제주,건설업,49339,대리중개도급 등,21460,부동산임대업,18923,관광 개발 수요로 건설이 1위. 부동산 중개·임대가 2·3위로 관광지 부동산 집중 구조.
충남,제조업,101192,음식업,94228,건설업,87645,삼성(천안·아산)·현대제철(당진) 등 전자·철강 제조업 1위. 수도권 인접 제조 클러스터.
충북,제조업,76864,음식업,71351,건설업,68982,SK하이닉스(청주) 등 반도체 중심의 제조업 1위. 제조·음식·건설이 비교적 균등한 복합 구조.
